Files already downloaded
3000
750
Shapes: (3000, 28, 28) (3000,) (10000, 28, 28) (10000,)
Epoch 328, cost = 1.538879, acc = 90.80%
Epoch 329, cost = 1.543305, acc = 90.91%
Epoch 330, cost = 1.532044, acc = 90.85%
Epoch 331, cost = 1.533984, acc = 90.72%
Epoch 332, cost = 1.534230, acc = 90.77%
Epoch 333, cost = 1.531660, acc = 90.83%
Epoch 334, cost = 1.535930, acc = 90.77%
Epoch 335, cost = 1.536554, acc = 90.90%
Epoch 336, cost = 1.532484, acc = 91.30%
Epoch 337, cost = 1.543351, acc = 91.12%
Epoch 338, cost = 1.538940, acc = 90.75%
Epoch 339, cost = 1.529209, acc = 91.21%
Epoch 340, cost = 1.538187, acc = 90.96%
Epoch 341, cost = 1.538370, acc = 90.52%
Epoch 342, cost = 1.533153, acc = 91.21%
Epoch 343, cost = 1.530639, acc = 90.48%
Epoch 344, cost = 1.539710, acc = 91.05%
Epoch 345, cost = 1.533037, acc = 91.44%
Epoch 346, cost = 1.532532, acc = 91.05%
Epoch 347, cost = 1.532999, acc = 91.19%
Epoch 348, cost = 1.533915, acc = 91.01%
Epoch 349, cost = 1.530900, acc = 91.49%
Epoch 350, cost = 1.535596, acc = 90.57%
Epoch 351, cost = 1.528926, acc = 90.91%
Epoch 352, cost = 1.529432, acc = 91.13%
Epoch 353, cost = 1.530855, acc = 91.31%
Epoch 354, cost = 1.537458, acc = 91.26%
Epoch 355, cost = 1.531143, acc = 90.44%
Epoch 356, cost = 1.540188, acc = 91.36%
Epoch 357, cost = 1.535204, acc = 90.92%
Epoch 358, cost = 1.543073, acc = 91.13%
Epoch 359, cost = 1.530584, acc = 90.95%
Epoch 360, cost = 1.533800, acc = 91.32%
Epoch 361, cost = 1.531195, acc = 91.17%
Epoch 362, cost = 1.528405, acc = 91.51%
Epoch 363, cost = 1.530367, acc = 91.53%
Epoch 364, cost = 1.529683, acc = 91.28%
Epoch 365, cost = 1.530973, acc = 91.31%
Epoch 366, cost = 1.529030, acc = 91.19%
Epoch 367, cost = 1.530969, acc = 91.62%
Epoch 368, cost = 1.526111, acc = 91.65%
Epoch 369, cost = 1.529085, acc = 91.50%
Epoch 370, cost = 1.530907, acc = 91.49%
Epoch 371, cost = 1.529045, acc = 90.93%
Epoch 372, cost = 1.529298, acc = 91.37%
Epoch 373, cost = 1.532766, acc = 91.19%
Epoch 374, cost = 1.532353, acc = 91.57%
Epoch 375, cost = 1.524475, acc = 91.36%
Epoch 376, cost = 1.532301, acc = 91.05%
Epoch 377, cost = 1.528400, acc = 91.24%
Epoch 378, cost = 1.529893, acc = 91.54%
Epoch 379, cost = 1.532214, acc = 91.63%
Epoch 380, cost = 1.524144, acc = 91.33%
Epoch 381, cost = 1.527834, acc = 91.64%
Epoch 382, cost = 1.532224, acc = 91.73%
Epoch 383, cost = 1.535558, acc = 91.54%
Epoch 384, cost = 1.528971, acc = 91.52%
Epoch 385, cost = 1.532505, acc = 91.34%
Epoch 386, cost = 1.527441, acc = 91.70%
Epoch 387, cost = 1.528685, acc = 91.89%
Epoch 388, cost = 1.527873, acc = 91.20%
Epoch 389, cost = 1.522081, acc = 91.93%
Epoch 390, cost = 1.529015, acc = 92.13%
Epoch 391, cost = 1.528137, acc = 91.55%
Epoch 392, cost = 1.530084, acc = 91.72%
Epoch 393, cost = 1.523164, acc = 91.38%
Epoch 394, cost = 1.523332, acc = 91.80%
Epoch 395, cost = 1.524688, acc = 91.60%
Epoch 396, cost = 1.526465, acc = 91.65%
Epoch 397, cost = 1.527269, acc = 91.65%
Epoch 398, cost = 1.531105, acc = 91.44%
Epoch 399, cost = 1.526610, acc = 91.59%
Epoch 400, cost = 1.528295, acc = 92.12%
Epoch 401, cost = 1.525842, acc = 91.55%
Epoch 402, cost = 1.527640, acc = 91.98%
Epoch 403, cost = 1.527396, acc = 91.37%
Epoch 404, cost = 1.525169, acc = 91.71%
Epoch 405, cost = 1.530328, acc = 91.80%
Epoch 406, cost = 1.524741, acc = 91.63%
Epoch 407, cost = 1.530550, acc = 91.81%
Epoch 408, cost = 1.525860, acc = 91.43%
Epoch 409, cost = 1.525396, acc = 91.75%
Epoch 410, cost = 1.527719, acc = 91.60%
Epoch 411, cost = 1.522118, acc = 92.12%
Epoch 412, cost = 1.530068, acc = 91.87%
Epoch 413, cost = 1.521332, acc = 91.43%
Epoch 414, cost = 1.527304, acc = 91.78%
Epoch 415, cost = 1.521790, acc = 91.54%
Epoch 416, cost = 1.521530, acc = 91.81%
Epoch 417, cost = 1.527537, acc = 91.87%
Epoch 418, cost = 1.521891, acc = 91.78%
Epoch 419, cost = 1.521982, acc = 91.36%
Epoch 420, cost = 1.524462, acc = 92.15%
Epoch 421, cost = 1.518456, acc = 91.86%
Epoch 422, cost = 1.523908, acc = 91.82%
Epoch 423, cost = 1.522751, acc = 91.83%
Epoch 424, cost = 1.525631, acc = 91.77%
Epoch 425, cost = 1.521695, acc = 91.70%
Epoch 426, cost = 1.518723, acc = 91.46%
Epoch 427, cost = 1.527102, acc = 92.00%
Epoch 428, cost = 1.522554, acc = 91.84%
Epoch 429, cost = 1.526001, acc = 91.76%
Epoch 430, cost = 1.516838, acc = 91.76%
Epoch 431, cost = 1.523489, acc = 92.15%
Epoch 432, cost = 1.517323, acc = 91.83%
Epoch 433, cost = 1.530479, acc = 91.91%
Epoch 434, cost = 1.521813, acc = 92.39%
Epoch 435, cost = 1.517424, acc = 92.25%
Epoch 436, cost = 1.522724, acc = 91.73%
Epoch 437, cost = 1.520575, acc = 91.84%
Epoch 438, cost = 1.521373, acc = 91.95%
Epoch 439, cost = 1.520687, acc = 91.82%
Epoch 440, cost = 1.522610, acc = 91.85%
Epoch 441, cost = 1.518259, acc = 91.89%
Epoch 442, cost = 1.525613, acc = 92.16%
Epoch 443, cost = 1.519873, acc = 92.58%
Epoch 444, cost = 1.519446, acc = 91.42%
Epoch 445, cost = 1.522096, acc = 91.91%
Epoch 446, cost = 1.519603, acc = 92.09%
Epoch 447, cost = 1.518506, acc = 91.53%
Epoch 448, cost = 1.524416, acc = 92.16%
Epoch 449, cost = 1.519232, acc = 91.81%
Epoch 450, cost = 1.522714, acc = 92.05%
Epoch 451, cost = 1.525269, acc = 92.09%
Epoch 452, cost = 1.517419, acc = 92.07%
Epoch 453, cost = 1.520117, acc = 92.11%
Epoch 454, cost = 1.526327, acc = 91.97%
Epoch 455, cost = 1.519262, acc = 91.64%
Epoch 456, cost = 1.518933, acc = 91.99%
Epoch 457, cost = 1.519264, acc = 91.89%
Epoch 458, cost = 1.516767, acc = 92.00%
Epoch 459, cost = 1.522023, acc = 91.96%
Epoch 460, cost = 1.522030, acc = 92.21%
Epoch 461, cost = 1.519012, acc = 92.32%
Epoch 462, cost = 1.520146, acc = 91.94%
Epoch 463, cost = 1.517943, acc = 92.24%
Epoch 464, cost = 1.527574, acc = 92.27%
Epoch 465, cost = 1.527040, acc = 92.34%
Epoch 466, cost = 1.516117, acc = 92.01%
Epoch 467, cost = 1.521378, acc = 92.24%
Epoch 468, cost = 1.523920, acc = 92.20%
Epoch 469, cost = 1.521043, acc = 92.23%
Epoch 470, cost = 1.516198, acc = 92.35%
Epoch 471, cost = 1.514720, acc = 92.24%
Epoch 472, cost = 1.516808, acc = 92.00%
Epoch 473, cost = 1.514210, acc = 92.86%
Epoch 474, cost = 1.520903, acc = 92.21%
